100,4.73622,0
200,5.66335,0.927124
300,6.01995,0.643183
400,5.74904,0.529373
500,5.3814,0.550725
600,5.31342,0.454776
700,5.5146,0.433823
800,5.29656,0.434384
900,5.23095,0.38867
1000,5.23556,0.347667
1100,5.30249,0.32152
1200,5.15088,0.33035
1300,5.16647,0.304278
1400,5.17542,0.281849
1500,5.25409,0.273926
1600,5.26882,0.256657
1700,5.37391,0.262997
1800,5.40328,0.24969
1900,5.48097,0.24863
2000,5.54107,0.243409
2100,5.57564,0.234094
2200,5.51389,0.231584
2300,5.56209,0.226475
2400,5.59047,0.218682
2500,5.60101,0.210017
2600,5.56124,0.205659
2700,5.54313,0.198722
2800,5.53259,0.191784
2900,5.49665,0.18851
3000,5.51353,0.182899
3100,5.48743,0.178815
3200,5.52496,0.177158
3300,5.54907,0.17339
3400,5.57824,0.170724
3500,5.54803,0.168506
3600,5.54244,0.163854
3700,5.55447,0.159817
3800,5.56462,0.155886
3900,5.53193,0.155316
4000,5.5232,0.151635
4100,5.49614,0.150346
4200,5.49767,0.146731
4300,5.5175,0.144644
4400,5.52645,0.141602
4500,5.53511,0.13869
4600,5.54036,0.135743
4700,5.51922,0.134496
4800,5.5748,0.142917
4900,5.56774,0.140148
5000,5.55031,0.138418
5100,5.53324,0.136747
5200,5.50456,0.137123
5300,5.50727,0.134538
5400,5.50434,0.132056
5500,5.49966,0.129717
5600,5.48707,0.128
5700,5.47788,0.12607
5800,5.49224,0.124707
5900,5.48625,0.122722
6000,5.47423,0.121256
6100,5.48151,0.119474
6200,5.49659,0.118495
6300,5.5033,0.116792
6400,5.52016,0.116182
6500,5.51941,0.114383
6600,5.52754,0.11293
6700,5.52287,0.111329
6800,5.53099,0.10998
6900,5.52734,0.108435
7000,5.51017,0.108246
7100,5.50593,0.106795
7200,5.49943,0.105501
7300,5.49712,0.104071
7400,5.50235,0.102789
7500,5.49734,0.101532
7600,5.47399,0.102873
7700,5.48628,0.10227
7800,5.50524,0.102715
7900,5.50883,0.10147
8000,5.50399,0.10031
8100,5.50138,0.0990989
8200,5.50689,0.0980384
8300,5.53362,0.10047
8400,5.53861,0.0993917
8500,5.53773,0.0982194
8600,5.55122,0.0980031
8700,5.54171,0.0973353
8800,5.54239,0.0962253
8900,5.54198,0.0951388
9000,5.55333,0.094757
9100,5.56398,0.0943135
9200,5.56577,0.0933
9300,5.56243,0.092352
9400,5.5574,0.0915025
9500,5.55109,0.0907539
9600,5.56779,0.0913435
9700,5.57998,0.0912156
9800,5.57321,0.0905334
9900,5.56986,0.0896769
10000,5.57548,0.088953
