1,86.32
2,111
3,83.6
4,88.53
5,110.58
6,86.8
7,87.92
8,89.84
9,91.3
10,94.5
11,85.78
12,90.93
13,72.82
14,104.98
15,92.87
16,104.03
17,106.44
18,97.92
19,115.92
20,137.55
21,88.25
22,114.66
23,96.86
24,113.68
25,133.77
26,101.32
27,115.18
28,83.45
29,80.16
30,87.47
31,113.34
32,89.52
33,114.35
34,86.01
35,96.13
36,94.94
37,81.65
38,86.51
39,106.55
40,118.06
41,100.42
42,104.71
43,127.2
44,100.82
45,99.07
46,91.73
47,101.74
48,108.92
49,101.2
50,92.91
51,91.72
52,113.9
53,102.52
54,86.03
55,91.19
56,93.69
57,107.13
58,121.57
59,121.19
60,100.03
61,83.06
62,99.12
63,101.7
64,98.54
65,104.81
66,97.94
67,101.46
68,111.58
69,109.29
70,118.93
71,114.07
72,81.82
73,109.3
74,96.44
75,76.12
76,112.85
77,102.9
78,103.43
79,95.92
80,80.1
81,92.9
82,93.16
83,109.65
84,115.27
85,95.57
86,100.69
87,91.92
88,76.97
89,90.68
90,86.7
91,86.73
92,76.53
93,80.39
94,105.67
95,100.3
96,132.32
97,103.16
98,97.2
99,110.01
100,123.4
