100,10,0
100,12.4833,2.48331
200,14.1532,2.20091
300,15.6646,2.16945
400,17.1879,2.26809
500,18.4328,2.23146
600,19.94,2.41416
700,20.9918,2.34042
800,22.2045,2.39394
900,23.2183,2.36906
1000,24.0812,2.31013
1100,25.0349,2.31444
1200,25.7222,2.23718
1300,26.7545,2.31423
1400,27.4618,2.26755
1500,28.4812,2.35334
1600,29.1366,2.3057
1700,30.0197,2.34638
1800,30.8041,2.35397
1900,31.4133,2.31478
2000,32.2522,2.3562
2100,32.8412,2.32248
2200,33.4331,2.29678
2300,34.0991,2.29763
2400,34.6634,2.27492
2500,35.3057,2.27808
2600,35.9676,2.28986
2700,36.5409,2.27981
2800,37.2485,2.3108
2900,37.7092,2.27948
3000,38.309,2.28485
3100,38.9292,2.29759
3200,39.5555,2.31328
3300,40.1232,2.31489
3400,40.6315,2.30454
3500,41.0864,2.28534
3600,41.6074,2.28298
3700,42.0743,2.27059
3800,42.5602,2.26435
3900,42.9924,2.24895
4000,43.5282,2.25791
4100,44.1452,2.28824
4200,44.5798,2.27626
4300,45.0953,2.28289
4400,45.5077,2.26937
4500,46.0255,2.27909
4600,46.6193,2.30776
4700,47.0784,2.30536
4800,47.5453,2.30559
4900,48.0524,2.31521
5000,48.6081,2.33641
5100,49.0432,2.33199
5200,49.5418,2.34128
5300,49.9844,2.33977
5400,50.4512,2.34378
5500,50.836,2.33349
5600,51.2187,2.32392
5700,51.5761,2.31129
5800,51.9777,2.30701
5900,52.3787,2.30341
6000,52.8127,2.30654
6100,53.2311,2.30728
6200,53.5833,2.29752
6300,53.9467,2.29034
6400,54.3328,2.28765
6500,54.6908,2.28099
6600,55.0414,2.27388
6700,55.4367,2.27481
6800,55.8068,2.27193
6900,56.1893,2.27168
7000,56.5367,2.26625
7100,56.8421,2.25532
7200,57.2992,2.2707
7300,57.7526,2.28523
7400,58.1173,2.28385
7500,58.5394,2.2928
7600,58.9352,2.29718
7700,59.2581,2.29041
7800,59.5598,2.28127
7900,59.9612,2.28806
8000,60.3331,2.29004
8100,60.7171,2.29429
8200,61.1134,2.30088
8300,61.5239,2.31009
8400,61.8619,2.30764
8500,62.2293,2.31004
8600,62.5694,2.30852
8700,62.8517,2.29954
8800,63.1791,2.29701
8900,63.5278,2.29795
9000,63.8613,2.29689
9100,64.2326,2.30193
9200,64.641,2.31338
9300,64.9924,2.31546
9400,65.3354,2.3165
9500,65.6818,2.31827
9600,66.068,2.32652
9700,66.3798,2.32367
9800,66.7044,2.32287
9900,67.0834,2.33055
