1	-1.09339e-20	0
2	-1.09166e-20	1.72443e-23
3	-1.0911e-20	1.14188e-23
4	-1.09073e-20	8.90104e-24
5	-1.09052e-20	7.19377e-24
6	-1.09047e-20	5.89494e-24
7	-1.09053e-20	5.01034e-24
8	-1.09061e-20	4.4201e-24
9	-1.09062e-20	3.90046e-24
10	-1.09053e-20	3.60638e-24
1	-9.74975e-21	0
2	-9.75372e-21	3.96159e-24
3	-9.75594e-21	3.18915e-24
4	-9.75701e-21	2.49627e-24
5	-9.7564e-21	2.02806e-24
6	-9.75664e-21	1.67415e-24
7	-9.75728e-21	1.55184e-24
8	-9.75795e-21	1.49977e-24
9	-9.75909e-21	1.74479e-24
10	-9.75964e-21	1.65494e-24
1	-9.38188e-21	0
2	-9.37903e-21	2.85399e-24
3	-9.3772e-21	2.46007e-24
4	-9.38021e-21	3.47389e-24
5	-9.37987e-21	2.71243e-24
6	-9.38052e-21	2.30941e-24
7	-9.38035e-21	1.9591e-24
8	-9.38109e-21	1.85206e-24
9	-9.38196e-21	1.84809e-24
10	-9.38168e-21	1.67633e-24
1	-9.14055e-21	0
2	-9.13775e-21	2.80068e-24
3	-9.13659e-21	1.99282e-24
4	-9.13677e-21	1.42036e-24
5	-9.13872e-21	2.24114e-24
6	-9.13883e-21	1.8331e-24
7	-9.13894e-21	1.55309e-24
8	-9.13876e-21	1.3563e-24
9	-9.13866e-21	1.20078e-24
10	-9.13823e-21	1.15437e-24
1	-8.92487e-21	0
2	-8.9235e-21	1.36812e-24
3	-8.92459e-21	1.3477e-24
4	-8.92366e-21	1.33223e-24
5	-8.9244e-21	1.2712e-24
6	-8.92405e-21	1.09586e-24
7	-8.9237e-21	9.89538e-25
8	-8.92371e-21	8.56988e-25
9	-8.9239e-21	7.79167e-25
10	-8.92419e-21	7.53945e-25
1	-9.01126e-21	0
2	-9.01135e-21	9.53718e-26
3	-9.01143e-21	9.77462e-26
4	-9.0113e-21	1.52618e-25
5	-9.01179e-21	5.08443e-25
6	-9.01205e-21	4.88759e-25
7	-9.01205e-21	4.13135e-25
8	-9.01189e-21	3.94873e-25
9	-9.01193e-21	3.50699e-25
10	-9.01186e-21	3.20429e-25
11	-9.01176e-21	3.07949e-25
12	-9.01197e-21	3.52626e-25
13	-9.01201e-21	3.26225e-25
14	-9.012e-21	3.02179e-25
15	-9.01201e-21	2.81517e-25
16	-9.01207e-21	2.71499e-25
17	-9.0122e-21	2.85486e-25
18	-9.01213e-21	2.78116e-25
19	-9.01215e-21	2.63997e-25
20	-9.01214e-21	2.50908e-25
21	-9.01203e-21	2.64111e-25
22	-9.01201e-21	2.52354e-25
23	-9.01201e-21	2.41177e-25
24	-9.012e-21	2.31104e-25
25	-9.01198e-21	2.22961e-25
26	-9.01191e-21	2.25316e-25
27	-9.01187e-21	2.21606e-25
28	-9.01191e-21	2.17814e-25
29	-9.01194e-21	2.12857e-25
30	-9.01196e-21	2.06535e-25
31	-9.01196e-21	1.99765e-25
32	-9.01192e-21	1.97485e-25
33	-9.01189e-21	1.94612e-25
34	-9.01194e-21	1.95677e-25
35	-9.01198e-21	1.94687e-25
36	-9.01197e-21	1.89727e-25
37	-9.01196e-21	1.84681e-25
38	-9.01197e-21	1.80339e-25
39	-9.012e-21	1.77026e-25
40	-9.01201e-21	1.73491e-25
41	-9.01198e-21	1.73119e-25
42	-9.01195e-21	1.72042e-25
43	-9.01197e-21	1.70282e-25
44	-9.01194e-21	1.68697e-25
45	-9.01196e-21	1.6538e-25
46	-9.01198e-21	1.63752e-25
47	-9.01196e-21	1.62089e-25
48	-9.01194e-21	1.59757e-25
49	-9.01193e-21	1.57056e-25
50	-9.0119e-21	1.55674e-25
